term,label
http://localhost:3030/ethereal/data#temperature,temperature
http://localhost:3030/ethereal/data#propPresentationURL,propPresentationURL
http://localhost:3030/ethereal/data#waterFlowStrength,waterFlowStrength
http://localhost:3030/ethereal/data#description,description
http://localhost:3030/ethereal/data#propPresentationURL,propPresentationURL
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#stepValue,stepValue
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#waterFlowStrength,waterFlowStrength
http://localhost:3030/ethereal/data#propLocation,propLocation
http://localhost:3030/ethereal/data#binarySwitchAnnc,binarySwitchAnnc
http://localhost:3030/ethereal/data#propLocation,propLocation
http://localhost:3030/ethereal/data#stepValue,stepValue
http://localhost:3030/ethereal/data#propDeviceType,propDeviceType
http://localhost:3030/ethereal/data#keyNumber,keyNumber
http://localhost:3030/ethereal/data#runMode,runMode
http://localhost:3030/ethereal/data#propOsVersion,propOsVersion
http://localhost:3030/ethereal/data#propDeviceType,propDeviceType
http://localhost:3030/ethereal/data#keyNumber,keyNumber
http://localhost:3030/ethereal/data#propOsVersion,propOsVersion
http://localhost:3030/ethereal/data#propHardwareVersion,propHardwareVersion
http://localhost:3030/ethereal/data#propDeviceManufacturer,propDeviceManufacturer
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#propProtocol,propProtocol
http://localhost:3030/ethereal/data#propDeviceManufacturer,propDeviceManufacturer
http://localhost:3030/ethereal/data#downChannel,downChannel
http://localhost:3030/ethereal/data#propProtocol,propProtocol
http://localhost:3030/ethereal/data#propDeviceSerialNum,propDeviceSerialNum
http://localhost:3030/ethereal/data#propDeviceSerialNum,propDeviceSerialNum
http://localhost:3030/ethereal/data#runMode,runMode
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#channelId,channelId
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propSystemTime,propSystemTime
http://localhost:3030/ethereal/data#resistance,resistance
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propSystemTime,propSystemTime
http://localhost:3030/ethereal/data#resistance,resistance
http://localhost:3030/ethereal/data#binarySwitchAnnc,binarySwitchAnnc
http://localhost:3030/ethereal/data#channelId,channelId
http://localhost:3030/ethereal/data#resistance,resistance
http://localhost:3030/ethereal/data#diastolicPressure,diastolicPressure
http://localhost:3030/ethereal/data#propDeviceModelName,propDeviceModelName
http://localhost:3030/ethereal/data#diastolicPressure,diastolicPressure
http://localhost:3030/ethereal/data#propDateOfManufacture,propDateOfManufacture
http://localhost:3030/ethereal/data#propDateOfManufacture,propDateOfManufacture
http://localhost:3030/ethereal/data#desiredHumidity,desiredHumidity
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#propDeviceModelName,propDeviceModelName
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#pulseRate,pulseRate
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propDeviceType,propDeviceType
http://localhost:3030/ethereal/data#clockAnnc,clockAnnc
http://localhost:3030/ethereal/data#pulseRate,pulseRate
http://localhost:3030/ethereal/data#propManufacturerDetailsLink,propManufacturerDetailsLink
